Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/08  03:00:00,781.342205112,102.203354281,397.631010759,0.0,34.9616554283,113.312780494,594.272517468,571.19131928,5.66466996096,17.4165282263
 01/08  04:00:00,773.438601695,102.203354281,379.50331021,0.0,34.9616554283,113.312780494,591.878392114,577.495658255,5.66466996096,8.71806389799
 01/08  05:00:00,774.41035641,102.203354281,368.909324453,0.0,44.4937663224,113.312780494,597.564854886,574.481439273,5.66466996096,17.4187456521
 01/08  06:00:00,779.985293249,102.203354281,368.617759629,0.0,44.4937663224,113.312780494,615.465650384,583.886695315,14.1616749024,17.4172801672
 01/08  07:00:00,869.187966102,102.203354281,383.313328797,0.0,54.0258772165,176.889270242,567.916723193,522.177567584,28.3233498048,17.4158058043
 01/08  08:00:00,876.931657219,102.203354281,388.388145222,0.0,54.0258772165,184.38654557,557.642948916,506.438748613,42.4850247072,8.71917559563
 01/08  09:00:00,954.78832363,102.203354281,392.942392372,0.0,65.1572554096,220.04316451,524.045996006,449.90221471,56.6466996096,17.4970816859
 01/08  10:00:00,960.535590608,102.203354281,403.66799855,0.0,65.1572554096,212.545889182,474.054542756,405.215404653,42.4850247072,26.3541133952
 01/08  11:00:00,987.372249294,102.203354281,412.068441783,0.0,65.1572554096,220.04316451,481.202428241,383.920015843,70.808374512,26.4740378856
 01/08  12:00:00,978.869156037,102.203354281,403.508479149,0.0,65.1572554096,220.04316451,479.467820894,373.361514018,70.808374512,35.2979323641
 01/08  13:00:00,962.616659309,102.203354281,391.202444629,0.0,65.1572554096,220.04316451,459.927092234,362.641620238,70.808374512,26.4770974849
