days_ap_kor_amt,days_unit_ap_qty,days_unit_price,incremental_number,org_display,ap_date
390000,1,390000,1048,Gwangyang,2014-07-25T00:00:00.0000000
390000,1,390000,2516,Iksan VIP,2015-08-13T00:00:00.0000000
390000,1,390000,4726,Gwangyang,2013-10-02T00:00:00.0000000
390000,2,195000,1071,Iksan,2012-04-19T00:00:00.0000000
393000,110,156800,11603,Iksan VIP,2011-02-21T00:00:00.0000000
394200,93,96170,6438,Iksan VIP,2011-08-05T00:00:00.0000000
396000,12,33000,9546,Iksan,2018-05-09T00:00:00.0000000
396000,5030,20068,13105,Iksan VIP,2014-05-16T00:00:00.0000000
400000,1,400000,3461,Pohang,2017-09-26T00:00:00.0000000
400000,1,400000,3820,Iksan,2019-07-11T00:00:00.0000000
400000,1,400000,4196,Iksan,2013-02-25T00:00:00.0000000
400000,1,400000,4486,Iksan,2013-05-22T00:00:00.0000000
400000,1,400000,8514,Gwangyang,2013-03-27T00:00:00.0000000
400000,1,400000,9194,Iksan,2011-08-26T00:00:00.0000000
400000,1,400000,9961,Gwangyang,2014-12-18T00:00:00.0000000
400000,1,400000,11410,Iksan,2015-12-23T00:00:00.0000000
400000,1,400000,14566,Gwangyang,2013-08-23T00:00:00.0000000
400000,2,400000,2341,Gwangyang,2014-11-12T00:00:00.0000000
400000,6,150000,12884,Iksan,2018-04-11T00:00:00.0000000
402000,40,20100,9472,Gunsan Chemical,2018-06-07T00:00:00.0000000
403400,140,63430,12146,Iksan VIP,2015-05-28T00:00:00.0000000
418650,42,377700,1928,Iksan VIP,2011-11-24T00:00:00.0000000
420000,1,420000,8577,Gwangyang,2016-07-15T00:00:00.0000000
420000,1,420000,13765,Gwangyang,2016-06-10T00:00:00.0000000
420000,2,420000,10328,Gwangyang,2012-03-13T00:00:00.0000000
420000,20,21000,6758,Iksan VIP,2013-12-20T00:00:00.0000000
420000,30,32000,5028,Iksan VIP,2015-08-20T00:00:00.0000000
425000,5,85000,10107,Iksan VIP,2016-07-14T00:00:00.0000000
427500,425,70550,4337,Iksan VIP,2014-12-04T00:00:00.0000000
430000,2,215000,34,Iksan,2013-01-10T00:00:00.0000000
430000,1500,650,4304,Iksan VIP,2017-05-12T00:00:00.0000000
430400,10,43040,10813,Iksan VIP,2014-09-05T00:00:00.0000000
430400,26,192100,9502,Iksan VIP,2014-10-07T00:00:00.0000000
434160,46,299670,12845,Pohang,2013-05-02T00:00:00.0000000
435000,1,435000,1039,Gwangyang,2011-04-04T00:00:00.0000000
435000,1,435000,8051,Gwangyang,2012-07-12T00:00:00.0000000
438360,69,25770,10579,Iksan,2012-12-04T00:00:00.0000000
440000,2,440000,8143,Gwangyang,2016-10-21T00:00:00.0000000
440000,20,22000,12466,Iksan VIP,2014-05-29T00:00:00.0000000
440680,25,204170,963,Iksan VIP,2013-09-28T00:00:00.0000000
442000,40,44200,7008,Iksan,2020-03-18T00:00:00.0000000
450000,1,450000,143,Gwangyang,2016-07-01T00:00:00.0000000
450000,1,450000,669,Gwangyang,2016-03-03T00:00:00.0000000
450000,1,450000,4466,Gwangyang,2017-04-11T00:00:00.0000000
450000,1,450000,5133,Pohang,2010-07-20T00:00:00.0000000
450000,1,450000,13415,Gwangyang,2017-06-15T00:00:00.0000000
450000,1,450000,14740,Gwangyang,2012-09-17T00:00:00.0000000
450000,50,9000,8945,Iksan VIP,2015-10-27T00:00:00.0000000
450000,600,750,115,Iksan,2010-02-24T00:00:00.0000000
451800,43,52100,6660,Iksan,2011-08-09T00:00:00.0000000
452250,130,45620,13944,Iksan,2019-10-04T00:00:00.0000000
454000,1,454000,212,Gwangyang,2020-05-04T00:00:00.0000000
455000,1,455000,357,Gwangyang,2020-02-18T00:00:00.0000000
456000,1,456000,1582,Gwangyang,2014-08-21T00:00:00.0000000
456000,5,169000,1588,Gunsan Chemical,2020-03-18T00:00:00.0000000
460000,1,460000,9975,Gwangyang,2017-03-22T00:00:00.0000000
460000,1,460000,10751,Gwangyang,2011-05-26T00:00:00.0000000
460000,1,460000,12599,Gwangyang,2017-07-03T00:00:00.0000000
460000,2,460000,2285,Iksan VIP,2014-07-24T00:00:00.0000000
460000,2,460000,10556,Gwangyang,2014-09-16T00:00:00.0000000
460000,6,160000,11959,Gwangyang,2016-01-05T00:00:00.0000000
460000,20,46000,10782,Iksan,2011-09-21T00:00:00.0000000
464000,20,23200,11581,Iksan VIP,2013-05-21T00:00:00.0000000
464000,20,23200,12314,Iksan VIP,2013-11-30T00:00:00.0000000
466590,466590,1,12222,Gunsan Chemical,2015-06-22T00:00:00.0000000
468000,5,93600,10254,Iksan VIP,2017-06-08T00:00:00.0000000
470000,1,470000,1670,Pohang,2017-06-05T00:00:00.0000000
470000,1,470000,3058,Gwangyang,2014-12-08T00:00:00.0000000
470000,1,470000,11038,Gwangyang,2011-06-24T00:00:00.0000000
470000,1,470000,13452,Gwangyang,2012-09-04T00:00:00.0000000
470000,41,162000,13078,Iksan VIP,2012-10-22T00:00:00.0000000
473000,1,473000,5931,Gwangyang,2018-03-22T00:00:00.0000000
475370,84,41550,10342,Iksan VIP,2012-07-04T00:00:00.0000000
476000,34,31500,11391,Iksan VIP,2014-05-26T00:00:00.0000000
478000,206,8070,5765,Iksan VIP,2019-07-30T00:00:00.0000000
480000,1,480000,389,Gwangyang,2011-12-22T00:00:00.0000000
480000,1,480000,7139,Gwangyang,2017-12-06T00:00:00.0000000
480000,1,480000,8880,Gwangyang,2011-07-26T00:00:00.0000000
480000,1,480000,10350,Gwangyang,2012-12-13T00:00:00.0000000
480000,4,120000,799,Iksan,2020-05-18T00:00:00.0000000
480000,12,200000,10460,Iksan VIP,2017-07-28T00:00:00.0000000
480000,16,30000,4575,Iksan,2014-06-12T00:00:00.0000000
480000,16,30000,9999,Iksan,2016-10-19T00:00:00.0000000
480000,100,4800,1766,Iksan,2013-12-10T00:00:00.0000000
480000,100,4800,9193,Iksan,2013-08-02T00:00:00.0000000
480000,600,800,2233,Iksan,2013-07-22T00:00:00.0000000
489000,6,163000,2138,Iksan,2013-11-15T00:00:00.0000000
490000,1,490000,490,Gwangyang,2018-01-18T00:00:00.0000000
490000,1,490000,11441,Gwangyang,2014-01-10T00:00:00.0000000
492000,4,123000,2667,Iksan,2019-07-15T00:00:00.0000000
492000,68,19000,11178,Iksan VIP,2017-11-03T00:00:00.0000000
495000,2,495000,610,Gwangyang,2016-10-06T00:00:00.0000000
500000,1,500000,5160,Gwangyang,2017-05-08T00:00:00.0000000
500000,1,500000,5726,Iksan,2019-01-02T00:00:00.0000000
500000,60,14000,2568,Iksan VIP,2015-04-07T00:00:00.0000000
500000,100,5000,1722,Iksan VIP,2018-06-28T00:00:00.0000000
500000,500,1000,4638,Iksan VIP,2018-09-27T00:00:00.0000000
505211,1,362,5777,Iksan VIP,2013-01-08T00:00:00.0000000
509400,7,234810,14225,Iksan VIP,2014-03-18T00:00:00.0000000
510000,1,510000,5970,Gwangyang,2013-01-26T00:00:00.0000000
510000,17,240000,6173,Gwangyang,2012-02-20T00:00:00.0000000
510000,60,17000,1846,Iksan,2018-07-03T00:00:00.0000000
512000,1,512000,13762,Gwangyang,2011-01-17T00:00:00.0000000
515500,2,515500,4920,Pohang,2010-11-18T00:00:00.0000000
516000,12,43000,12607,Iksan,2018-06-04T00:00:00.0000000
520000,1,520000,2876,Pohang,2011-01-25T00:00:00.0000000
525000,15000,35,6752,Iksan,2013-07-08T00:00:00.0000000
525326,14,27,11765,Gunsan Chemical,2014-07-22T00:00:00.0000000
528000,1,528000,14449,Gwangyang,2015-06-24T00:00:00.0000000
528000,180,6200,10631,Iksan VIP,2016-04-08T00:00:00.0000000
530000,132,7000,7188,Iksan VIP,2012-12-27T00:00:00.0000000
530000,1010,9440,5308,Iksan VIP,2019-04-02T00:00:00.0000000
532100,3,402300,5812,Iksan VIP,2011-10-05T00:00:00.0000000
536700,1,536700,4404,Iksan,2015-07-09T00:00:00.0000000
537000,141,365650,155,Iksan VIP,2012-02-16T00:00:00.0000000
540000,1,540000,4238,Pohang,2012-09-15T00:00:00.0000000
540000,1,540000,6500,Pohang,2017-01-20T00:00:00.0000000
540000,1,540000,12540,Gwangyang,2010-05-10T00:00:00.0000000
540000,3,180000,11400,Iksan VIP,2019-08-08T00:00:00.0000000
545000,2,272500,4667,Iksan VIP,2012-01-26T00:00:00.0000000
545000,310,13780,6545,Iksan VIP,2011-05-13T00:00:00.0000000
547665,100,8,8573,Iksan,2011-11-14T00:00:00.0000000
550000,1,550000,1169,Gwangyang,2016-09-13T00:00:00.0000000
550000,1,550000,6497,Iksan VIP,2013-12-26T00:00:00.0000000
560000,1,560000,5572,Gwangyang,2017-04-10T00:00:00.0000000
560000,1,560000,12467,Pohang,2019-08-06T00:00:00.0000000
560000,2,280000,9144,Iksan VIP,2017-08-02T00:00:00.0000000
